"nbagameid","gamedate","season","gametype","nbapersonid","player_name","nbateamid","team","team_name","opposingnbateamid","opp_team","opp_team_name","starter","missed","seconds","points","fg2made","fg2missed","fg2attempted","fg3made","fg3missed","fg3attempted","fgmade","fgmissed","fgattempted","ftmade","ftmissed","ftattempted","reboffensive","rebdefensive","offensivereboundchances","defensivereboundchances","assists","steals","stealsagainst","turnovers","blocks","blocksagainst","defensivefouls","defensivefoulsdrawn","offensivefouls","offensivefoulsdrawn","shootingfouls","shootingfoulsdrawn","shotattempts","shotattemptpoints","offensiveseconds","offensivepossessions","defensiveseconds","defensivepossessions","andones","teampoints","opponentteampoints","teamshotattempts","teamfgmade","teamfgattempted","teamturnovers","opponentteamfg2attempted","opponentteamfg3attempted"
"21700826","2018-02-10T00:00:00.000Z","2017","2","1627821","James Webb III","1610612751","BKN","Brooklyn Nets","1610612740","NOP","New Orleans Pelicans","0","0","418","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","7","3","1","0","0","0","0","0","1","0","0","0","1","0","1","0","219.7","15","198.3","15","0","17","26","14","6","13","1","9","4"
"21700826","2018-02-10T00:00:00.000Z","2017","2","1626156","D'Angelo Russell","1610612751","BKN","Brooklyn Nets","1610612740","NOP","New Orleans Pelicans","0","0","1895.4","21","2","3","5","5","8","13","7","11","18","2","0","2","2","7","38","23","5","1","3","5","0","0","3","4","0","0","1","0","18","19","988.1","71","907.3","72","0","81","84","71","26","66","8","40","12"
"21700826","2018-02-10T00:00:00.000Z","2017","2","203917","Nik Stauskas","1610612751","BKN","Brooklyn Nets","1610612740","NOP","New Orleans Pelicans","0","0","711.6","5","1","0","1","1","1","2","2","1","3","0","0","0","0","2","13","8","1","0","0","0","0","0","0","0","0","0","0","0","3","5","355.2","24","356.4","23","0","21","33","23","8","22","2","16","5"
"21700826","2018-02-10T00:00:00.000Z","2017","2","1626143","Jahlil Okafor","1610612751","BKN","Brooklyn Nets","1610612740","NOP","New Orleans Pelicans","0","0","308","6","3","1","4","0","0","0","3","1","4","0","0","0","0","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","4","6","171","11","137","10","0","11","18","10","4","9","1","8","2"
"21700826","2018-02-10T00:00:00.000Z","2017","2","202391","Jeremy Lin","1610612751","BKN","Brooklyn Nets","1610612740","NOP","New Orleans Pelicans","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21700826","2018-02-10T00:00:00.000Z","2017","2","203915","Spencer Dinwiddie","1610612751","BKN","Brooklyn Nets","1610612740","NOP","New Orleans Pelicans","1","0","2572.2","24","3","10","13","2","7","9","5","17","22","12","0","12","1","3","45","44","10","3","4","4","0","4","4","6","0","1","1","6","27","24","1390.8","86","1181.4","89","1","85","100","86","28","79","12","62","19"
"21700826","2018-02-10T00:00:00.000Z","2017","2","201960","DeMarre Carroll","1610612751","BKN","Brooklyn Nets","1610612740","NOP","New Orleans Pelicans","1","0","2179","12","3","9","12","1","3","4","4","12","16","3","1","4","5","4","41","41","5","0","1","1","0","2","5","2","1","0","3","2","18","12","1234.7","73","944.3","73","0","70","82","76","22","70","10","57","15"
"21700826","2018-02-10T00:00:00.000Z","2017","2","203925","Joe Harris","1610612751","BKN","Brooklyn Nets","1610612740","NOP","New Orleans Pelicans","1","0","2052.8","12","2","2","4","2","2","4","4","4","8","2","0","2","2","8","35","37","3","2","0","1","2","0","6","1","0","0","3","1","9","12","1066.4","69","986.4","73","0","78","74","72","29","70","13","51","13"
"21700826","2018-02-10T00:00:00.000Z","2017","2","203112","Quincy Acy","1610612751","BKN","Brooklyn Nets","1610612740","NOP","New Orleans Pelicans","0","0","2374","10","1","2","3","2","5","7","3","7","10","2","0","2","1","4","44","34","2","1","0","1","0","3","4","2","0","0","2","0","10","8","1290.6","83","1083.4","84","0","87","88","84","28","79","13","48","16"
"21700826","2018-02-10T00:00:00.000Z","2017","2","1628495","Milton Doyle","1610612751","BKN","Brooklyn Nets","1610612740","NOP","New Orleans Pelicans","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
